Free_category_count,Neutral_category_count,Busy_Category_count,System_category_count,Battery_level,Battery_status,Background,Foreground,Service,Visible,Perceptible,Unknown,TimeStamp
5,2,2,26,72,discharging,0,0,35,0,0,0,1447
5,2,2,30,50,discharging,0,0,39,0,0,0,0739
4,2,2,29,87,charging,0,0,37,0,0,0,1751
5,2,2,29,84,charging,0,0,38,0,0,0,1752
4,3,2,29,85,discharging,0,0,38,0,0,0,1205
5,2,2,30,96,discharging,0,0,39,0,0,0,1001
6,2,2,28,78,charging,0,0,38,0,0,0,1742
4,3,2,28,30,charging,0,0,37,0,0,0,0723
6,3,2,28,87,charging,0,0,39,0,0,0,1824
5,2,2,30,98,charging,0,0,39,0,0,0,0916
5,3,2,30,69,charging,0,0,39,0,0,0,1733
5,3,2,28,76,charging,0,0,38,0,0,0,1741
6,2,2,28,85,charging,0,0,38,0,0,0,1821
4,3,2,29,86,charging,0,0,38,0,0,0,1749
4,3,3,30,77,charging,0,0,39,0,0,0,1735
4,4,2,29,84,charging,0,0,39,0,0,0,2230
4,3,3,29,20,charging,0,0,39,0,0,0,0710
4,4,2,29,95,discharging,0,0,39,0,0,0,2304
4,2,2,29,85,discharging,0,0,37,0,0,0,1207
4,3,2,29,84,charging,0,0,38,0,0,0,1824
4,3,2,29,91,discharging,0,1,37,0,0,0,1858
4,2,2,28,68,discharging,0,0,36,0,0,0,1656
4,3,1,29,24,charging,0,0,37,0,0,0,0623
4,3,2,29,77,charging,0,0,38,0,0,0,1739
4,3,2,28,34,charging,0,0,37,0,0,0,0727
5,2,2,27,83,charging,0,0,36,0,0,0,1755
6,2,2,28,76,charging,0,0,38,0,0,0,1739
5,4,3,31,78,charging,0,0,41,0,0,0,1736
5,3,5,30,13,charging,0,0,43,0,0,0,1222
4,3,2,29,87,charging,0,0,38,0,0,0,1828
4,2,2,29,84,discharging,0,0,37,0,0,0,1228
6,2,2,28,89,charging,0,0,38,0,0,0,1328
4,2,2,29,78,discharging,0,0,37,0,0,0,1435
5,3,2,28,76,charging,0,0,38,0,0,0,1742
4,2,2,29,86,discharging,0,0,37,0,0,0,1149
6,2,2,28,91,charging,0,0,38,0,0,0,1834
5,3,2,30,97,discharging,0,0,40,0,0,0,0953
4,3,2,29,44,charging,0,0,38,0,0,0,0739
4,3,2,29,76,charging,0,0,38,0,0,0,1738
4,2,2,29,91,charging,0,0,37,0,0,0,1826
4,4,2,29,67,charging,0,0,39,0,0,0,2208
5,2,2,30,67,charging,0,0,39,0,0,0,0822
5,3,2,29,63,charging,0,0,39,0,0,0,2205
6,2,2,28,81,discharging,0,1,37,0,0,0,1936
4,2,2,29,93,discharging,0,0,37,0,0,0,1033
4,2,3,29,90,charging,0,0,38,0,0,0,0830
4,2,3,28,98,charging,0,0,37,0,0,0,0856
4,4,3,29,77,charging,0,0,39,0,0,0,2220
4,4,2,29,68,charging,0,0,39,0,0,0,2210
6,3,2,27,84,discharging,0,1,37,0,0,0,1926
4,3,2,29,84,charging,0,0,38,0,0,0,1811
4,2,3,28,94,charging,0,0,37,0,0,0,0841
6,3,2,27,92,discharging,0,0,38,0,0,0,1131
5,4,2,30,52,discharging,0,0,41,0,0,0,0722
4,3,2,28,31,charging,0,0,37,0,0,0,0724
4,4,2,29,74,charging,0,0,39,0,0,0,2216
6,2,2,28,83,discharging,0,0,38,0,0,0,1233
5,2,2,30,90,charging,0,0,39,0,0,0,0851
5,2,3,28,70,charging,0,0,37,0,0,0,1735
4,2,2,28,71,discharging,0,0,36,0,0,0,1604
4,3,2,29,51,charging,0,0,38,0,0,0,0745
5,3,2,30,84,charging,0,0,40,0,0,0,0841
6,3,2,30,49,discharging,0,0,41,0,0,0,0754
5,2,2,30,92,charging,0,0,39,0,0,0,0856
6,3,2,28,76,discharging,0,0,39,0,0,0,2012
4,3,3,29,64,charging,0,0,38,0,0,0,2206
6,2,2,28,86,charging,0,0,38,0,0,0,1823
5,3,2,30,85,charging,0,0,40,0,0,0,0842
4,2,1,27,71,charging,0,0,34,0,0,0,1742
4,3,2,29,26,charging,0,0,38,0,0,0,0618
6,2,2,28,88,charging,0,0,38,0,0,0,1327
5,3,2,29,72,charging,0,0,38,0,0,0,1733
4,3,2,29,99,discharging,0,0,38,0,0,0,0931
5,3,2,29,52,charging,0,0,39,0,0,0,0807
5,3,2,28,76,discharging,0,0,38,0,0,0,1334
4,3,2,29,92,discharging,0,0,38,0,0,0,1038
5,3,2,28,67,charging,0,0,37,0,0,0,1738
5,3,5,30,84,discharging,0,0,43,0,0,0,1727
5,3,1,27,66,charging,0,0,36,0,0,0,1737
5,3,2,29,79,charging,0,0,39,0,0,0,1745
5,2,2,30,37,charging,0,0,39,0,0,0,0730
4,4,2,29,72,charging,0,0,39,0,0,0,2213
5,2,2,30,64,charging,0,0,39,0,0,0,0819
5,3,2,30,77,charging,0,0,40,0,0,0,0832
6,3,3,27,99,discharging,0,0,38,0,0,0,1321
4,3,2,29,49,charging,0,0,38,0,0,0,0743
6,2,2,28,83,charging,0,0,38,0,0,0,1817
4,4,1,25,72,discharging,0,0,34,0,0,0,0757
4,3,2,29,73,charging,0,0,38,0,0,0,1734
5,2,2,27,68,discharging,0,0,36,0,0,0,1607
4,3,2,29,36,charging,0,0,38,0,0,0,0629
5,3,2,29,54,charging,0,0,39,0,0,0,0809
4,2,1,28,78,charging,0,0,35,0,0,0,1749
4,4,2,29,92,charging,0,0,39,0,0,0,2247
4,2,2,29,87,charging,0,0,37,0,0,0,1816
4,3,2,29,80,charging,0,0,38,0,0,0,1739
4,2,3,27,30,discharging,0,0,35,0,0,0,0841
6,3,2,27,81,discharging,0,0,38,0,0,0,1252
4,4,2,29,86,charging,0,0,39,0,0,0,2234
6,3,2,27,89,charging,0,0,38,0,0,0,1828
5,4,2,29,85,charging,0,0,40,0,0,0,2232
5,4,2,29,97,charging,0,0,40,0,0,0,2315
6,2,2,28,87,discharging,0,1,37,0,0,0,1910
5,3,2,29,77,charging,0,0,39,0,0,0,1743
4,2,2,29,82,charging,0,0,37,0,0,0,0816
4,2,2,28,35,charging,0,0,36,0,0,0,0728
4,2,2,29,98,discharging,0,0,37,0,0,0,0940
4,3,2,28,32,charging,0,0,37,0,0,0,0725
5,3,2,30,70,charging,0,0,40,0,0,0,0825
4,2,2,28,94,discharging,0,0,36,0,0,0,1022
4,4,2,29,25,charging,0,0,38,0,0,0,0616
6,3,2,28,82,charging,0,0,39,0,0,0,1748
4,4,2,29,70,charging,0,0,39,0,0,0,2211
6,3,2,28,88,discharging,0,0,39,0,0,0,1150
6,3,2,28,83,charging,0,0,39,0,0,0,1749
4,3,2,29,86,charging,0,0,38,0,0,0,1815
4,2,2,29,80,discharging,0,0,37,0,0,0,1344
6,2,2,27,92,discharging,0,0,37,0,0,0,1504
7,3,2,27,74,charging,0,0,38,0,0,0,1737
4,3,2,28,75,charging,0,0,37,0,0,0,0808
4,2,2,28,66,charging,0,0,36,0,0,0,0758
6,2,2,28,84,charging,0,0,38,0,0,0,1319
4,4,2,31,53,discharging,0,0,41,0,0,0,0710
4,3,2,29,50,charging,0,0,38,0,0,0,0744
4,2,2,29,83,charging,0,0,37,0,0,0,0817
4,3,2,29,92,charging,0,0,38,0,0,0,1828
6,2,2,28,80,charging,0,0,38,0,0,0,1745
5,3,4,29,90,discharging,0,0,41,0,0,0,1905
4,2,2,29,77,discharging,0,0,37,0,0,0,1456
4,2,2,28,72,charging,0,0,36,0,0,0,0804
4,3,2,28,95,charging,0,0,37,0,0,0,0845
4,2,2,28,86,discharging,0,0,36,0,0,0,1846
5,3,2,29,78,charging,0,0,39,0,0,0,1802
4,3,2,29,28,charging,0,0,38,0,0,0,0620
4,2,2,29,88,discharging,0,0,37,0,0,0,1115
4,3,2,28,73,charging,0,0,37,0,0,0,0806
4,2,2,27,80,charging,0,0,35,0,0,0,1817
4,3,2,29,97,discharging,0,0,38,0,0,0,0952
4,3,2,28,56,charging,0,0,37,0,0,0,0749
4,3,3,29,39,charging,0,0,38,0,0,0,1019
4,3,2,28,74,discharging,0,0,37,0,0,0,1530
4,3,2,28,81,charging,0,0,37,0,0,0,1806
5,3,2,29,88,discharging,0,0,39,0,0,0,1806
5,2,2,29,71,discharging,0,0,38,0,0,0,1605
4,3,2,29,96,charging,0,0,38,0,0,0,0848
6,2,2,28,85,charging,0,0,38,0,0,0,1321
5,3,2,30,51,discharging,0,0,40,0,0,0,0729
4,2,1,27,72,charging,0,0,34,0,0,0,1743
4,2,1,28,75,charging,0,0,35,0,0,0,1746
4,4,2,29,83,charging,0,0,39,0,0,0,2228
5,2,2,28,68,charging,0,0,36,0,0,0,1739
5,3,2,28,63,discharging,0,0,38,0,0,0,1733
6,3,2,28,87,discharging,0,0,39,0,0,0,1159
4,3,2,29,74,charging,0,0,38,0,0,0,1735
6,3,3,27,90,discharging,0,0,38,0,0,0,1136
4,3,2,29,34,charging,0,0,38,0,0,0,0627
6,2,2,28,87,charging,0,0,38,0,0,0,1324
4,2,2,29,88,charging,0,0,37,0,0,0,0826
5,4,1,29,26,charging,0,0,38,0,0,0,0624
4,2,2,29,39,discharging,0,0,37,0,0,0,0634
5,3,2,29,78,charging,0,0,39,0,0,0,1743
4,2,2,29,86,discharging,0,0,37,0,0,0,1153
4,2,2,28,78,discharging,0,0,36,0,0,0,1809
7,2,2,28,72,charging,0,0,38,0,0,0,1735
5,2,2,27,70,discharging,0,0,36,0,0,0,1517
4,2,2,29,89,discharging,0,0,37,0,0,0,1800
4,2,2,29,79,discharging,0,0,37,0,0,0,1415
6,2,1,27,70,charging,0,0,34,0,0,0,1741
4,2,2,28,70,discharging,0,0,36,0,0,0,1612
4,4,2,29,91,charging,0,0,39,0,0,0,2245
4,3,2,29,79,charging,0,0,38,0,0,0,0812
4,3,3,28,21,charging,0,0,37,0,0,0,0711
4,4,1,25,71,discharging,0,0,34,0,0,0,0759
7,3,3,31,62,charging,0,0,43,0,0,0,2204
4,3,3,29,88,charging,0,0,39,0,0,0,1831
4,2,2,29,85,discharging,0,0,37,0,0,0,1821
5,3,2,28,67,discharging,0,1,37,0,0,0,1941
5,3,2,29,66,discharging,0,0,39,0,0,0,1959
4,3,3,28,23,charging,0,0,37,0,0,0,0712
6,3,2,28,81,charging,0,0,39,0,0,0,1746
4,2,4,28,1,charging,0,0,38,0,0,0,2200
4,2,1,28,80,charging,0,0,35,0,0,0,1752
4,2,2,29,76,discharging,0,0,37,0,0,0,1511
6,3,2,27,85,discharging,0,0,38,0,0,0,1212
5,2,2,30,68,charging,0,0,39,0,0,0,0823
5,2,2,30,60,charging,0,0,39,0,0,0,0815
4,2,2,28,95,discharging,0,0,36,0,0,0,1014
5,2,2,27,80,charging,0,1,35,0,0,0,0834
4,3,3,29,31,charging,0,0,38,0,0,0,0625
5,2,1,29,69,charging,0,0,37,0,0,0,1740
5,3,4,29,89,discharging,0,0,41,0,0,0,1905
4,2,2,28,92,charging,0,0,36,0,0,0,0835
5,2,2,30,95,charging,0,0,39,0,0,0,0905
5,3,2,30,99,discharging,0,0,40,0,0,0,0938
4,3,2,29,95,discharging,0,0,38,0,0,0,1007
4,3,2,29,85,charging,0,0,38,0,0,0,1747
5,3,2,29,49,charging,0,0,39,0,0,0,0804
4,3,2,29,41,charging,0,0,38,0,0,0,0736
6,2,2,27,89,discharging,0,0,37,0,0,0,1142
4,3,2,28,33,charging,0,0,37,0,0,0,0726
4,2,2,29,88,discharging,0,0,37,0,0,0,1118
5,3,2,28,74,charging,0,0,38,0,0,0,1739
5,3,2,29,50,charging,0,0,39,0,0,0,0806
6,2,2,27,94,discharging,0,0,37,0,0,0,1432
4,3,2,29,37,charging,0,0,38,0,0,0,0631
4,3,2,29,89,charging,0,0,38,0,0,0,1833
4,3,2,30,37,charging,0,0,38,0,0,0,1018
4,2,2,29,83,discharging,0,0,37,0,0,0,1248
5,5,2,30,79,charging,0,0,39,0,0,0,1738
6,3,2,28,85,charging,0,0,39,0,0,0,1753
4,3,1,29,28,charging,0,0,37,0,0,0,0625
6,3,2,28,84,discharging,0,0,39,0,0,0,1757
6,2,2,29,70,charging,0,0,38,0,0,0,1736
4,2,2,29,87,charging,0,0,37,0,0,0,0823
4,2,2,29,96,discharging,0,0,37,0,0,0,1002
6,2,2,28,79,charging,0,0,38,0,0,0,1744
4,2,2,28,59,charging,0,0,36,0,0,0,0752
4,3,2,29,80,charging,0,0,38,0,0,0,1805
5,2,2,26,73,discharging,0,0,35,0,0,0,1435
4,4,2,29,96,charging,0,0,39,0,0,0,2258
4,2,2,29,84,charging,0,0,37,0,0,0,0819
4,2,2,29,90,charging,0,0,37,0,0,0,1757
6,2,2,28,79,discharging,0,1,37,0,0,0,1943
6,2,2,28,82,charging,0,0,38,0,0,0,1816
4,3,3,28,93,discharging,0,0,38,0,0,0,1029
6,3,2,31,40,charging,0,0,41,0,0,0,1019
4,2,2,28,67,charging,0,0,36,0,0,0,0759
6,2,2,28,82,discharging,0,0,38,0,0,0,1810
4,3,2,28,29,charging,0,0,37,0,0,0,0722
4,3,2,29,85,charging,0,0,38,0,0,0,1813
5,3,3,28,69,discharging,0,1,36,0,0,0,1939
4,3,3,29,24,charging,0,0,38,0,0,0,0714
4,3,2,29,83,charging,0,0,38,0,0,0,1744
5,3,2,30,1,charging,0,0,40,0,0,0,0928
4,3,3,29,75,discharging,0,0,39,0,0,0,1800
6,2,2,27,98,discharging,0,0,37,0,0,0,1328
4,3,2,28,74,charging,0,0,37,0,0,0,0806
5,3,2,30,74,charging,0,0,40,0,0,0,0828
4,2,2,28,93,charging,0,0,36,0,0,0,0839
4,2,2,29,30,charging,0,0,37,0,0,0,0622
5,3,2,30,88,charging,0,0,40,0,0,0,0847
6,2,2,28,84,charging,0,0,38,0,0,0,1819
6,4,3,29,26,charging,0,0,38,0,0,0,0719
5,2,2,30,99,charging,0,0,39,0,0,0,0923
5,2,2,28,75,discharging,0,0,36,0,0,0,1411
6,3,2,29,62,discharging,0,0,39,0,0,0,1733
5,3,2,30,58,charging,0,0,40,0,0,0,0813
4,3,2,29,81,charging,0,0,38,0,0,0,2225
5,3,2,30,38,charging,0,0,39,0,0,0,1018
6,2,2,28,77,charging,0,0,38,0,0,0,1741
5,2,2,27,81,charging,0,0,36,0,0,0,1752
4,3,2,29,43,charging,0,0,38,0,0,0,0738
6,2,3,28,77,discharging,0,0,39,0,0,0,1959
4,5,1,26,67,discharging,0,0,36,0,0,0,0947
4,4,6,29,14,charging,0,0,43,0,0,0,1222
4,2,2,29,93,charging,0,0,37,0,0,0,1845
6,3,2,28,29,charging,0,0,38,0,0,0,0625
4,2,2,28,91,charging,0,0,36,0,0,0,0833
5,3,2,30,97,charging,0,0,40,0,0,0,0912
5,3,2,28,73,charging,0,0,38,0,0,0,1738
4,3,2,28,78,charging,0,0,37,0,0,0,0811
4,2,2,29,88,charging,0,0,37,0,0,0,1753
4,4,2,29,82,charging,0,0,39,0,0,0,2227
6,3,2,28,84,charging,0,0,39,0,0,0,1751
6,2,2,28,81,discharging,0,0,38,0,0,0,1813
5,4,2,31,54,discharging,0,0,41,0,0,0,0710
4,3,2,28,21,charging,0,0,37,0,0,0,1228
5,3,2,28,18,charging,0,0,38,0,0,0,1225
4,2,2,29,90,charging,0,0,37,0,0,0,1823
4,3,2,29,87,discharging,0,0,38,0,0,0,1809
4,2,2,27,29,discharging,0,0,35,0,0,0,0841
4,3,2,28,87,charging,0,0,37,0,0,0,1829
6,2,1,27,1,full,0,0,36,0,0,0,1250
5,3,2,29,40,charging,0,0,39,0,0,0,0733
4,3,2,29,80,charging,0,0,38,0,0,0,0813
5,2,2,30,89,charging,0,0,39,0,0,0,0849
6,2,2,27,96,discharging,0,0,37,0,0,0,1358
4,2,2,27,85,discharging,0,0,35,0,0,0,1858
4,2,2,28,36,charging,0,0,36,0,0,0,0729
4,3,2,29,81,charging,0,0,38,0,0,0,0814
6,2,2,28,75,charging,0,0,38,0,0,0,1739
4,3,2,29,33,charging,0,0,38,0,0,0,0626
4,4,2,29,90,charging,0,0,39,0,0,0,2242
4,2,3,29,81,discharging,0,0,38,0,0,0,1321
4,2,2,28,90,discharging,0,0,36,0,0,0,1059
6,2,2,27,97,discharging,0,0,37,0,0,0,1344
4,2,2,29,94,discharging,0,0,37,0,0,0,1016
5,4,2,27,80,charging,0,0,36,0,0,0,1750
5,3,2,30,86,charging,0,0,40,0,0,0,0844
4,3,2,29,53,charging,0,0,38,0,0,0,0747
5,3,2,28,77,charging,0,0,38,0,0,0,1743
5,3,2,28,85,charging,0,0,38,0,0,0,1826
5,2,2,30,59,charging,0,0,39,0,0,0,0814
4,3,2,29,87,discharging,0,0,38,0,0,0,1130
4,2,2,28,69,discharging,0,0,36,0,0,0,1628
5,3,2,30,72,charging,0,0,40,0,0,0,0826
5,2,2,30,82,charging,0,0,39,0,0,0,0838
6,2,2,27,95,discharging,0,0,37,0,0,0,1415
6,3,2,27,82,discharging,0,0,38,0,0,0,1248
5,3,2,30,87,charging,0,0,40,0,0,0,0845
5,2,2,26,87,discharging,0,0,35,0,0,0,1950
6,3,2,27,86,discharging,0,1,37,0,0,0,1917
4,3,2,29,76,charging,0,0,38,0,0,0,2218
4,3,2,29,92,discharging,0,0,38,0,0,0,1854
4,4,2,27,20,charging,0,0,37,0,0,0,1227
5,2,2,29,82,charging,0,0,38,0,0,0,1749
4,2,1,28,32,charging,0,0,35,0,0,0,0628
5,2,2,29,40,charging,0,0,38,0,0,0,0633
4,3,2,29,75,charging,0,0,38,0,0,0,1737
6,2,2,30,80,charging,0,0,40,0,0,0,0835
4,2,2,29,47,charging,0,0,37,0,0,0,0741
5,3,2,28,78,charging,0,0,38,0,0,0,1745
4,3,2,29,27,charging,0,0,38,0,0,0,0720
5,3,2,30,56,charging,0,0,40,0,0,0,0811
4,2,3,28,68,charging,0,0,37,0,0,0,0800
6,3,2,29,70,charging,0,0,40,0,0,0,1733
4,2,2,29,90,discharging,0,0,37,0,0,0,1103
4,3,2,29,86,charging,0,0,38,0,0,0,1827
4,3,2,29,52,charging,0,0,38,0,0,0,0746
4,2,2,28,72,discharging,0,0,36,0,0,0,1552
5,3,2,30,73,charging,0,0,40,0,0,0,0827
6,3,2,28,79,discharging,0,0,39,0,0,0,1308
4,2,2,28,62,charging,0,0,36,0,0,0,0755
6,3,2,28,90,charging,0,0,39,0,0,0,1831
6,2,2,28,90,discharging,0,0,38,0,0,0,1846
4,3,2,27,83,charging,0,0,36,0,0,0,1822
5,3,2,30,98,discharging,0,0,40,0,0,0,0940
4,3,2,28,73,discharging,0,0,37,0,0,0,1543
4,2,2,28,69,charging,0,0,36,0,0,0,0801
6,3,2,27,85,discharging,0,1,37,0,0,0,1922
5,2,2,29,80,charging,0,0,38,0,0,0,1746
5,2,2,27,71,discharging,0,0,36,0,0,0,1506
6,2,2,28,78,discharging,0,1,37,0,0,0,1945
4,4,2,29,66,charging,0,0,39,0,0,0,2208
5,2,2,29,79,charging,0,0,38,0,0,0,1804
6,2,2,27,74,discharging,0,0,37,0,0,0,2021
4,3,2,30,25,charging,0,0,39,0,0,0,0715
4,3,2,29,28,charging,0,0,38,0,0,0,0721
4,3,2,29,76,discharging,0,0,38,0,0,0,1751
6,3,2,29,83,discharging,0,0,40,0,0,0,1754
4,3,2,29,80,charging,0,0,38,0,0,0,2223
4,2,1,28,79,charging,0,0,35,0,0,0,1751
5,4,2,29,87,charging,0,0,40,0,0,0,2235
6,3,4,27,73,discharging,0,0,40,0,0,0,2031
4,5,1,26,69,discharging,0,0,36,0,0,0,0911
4,3,2,28,75,discharging,0,0,37,0,0,0,1524
4,3,2,29,94,discharging,0,0,38,0,0,0,2344
4,2,2,29,1,charging,0,0,37,0,0,0,0908
4,2,1,28,30,charging,0,0,35,0,0,0,0626
5,3,2,30,78,charging,0,0,40,0,0,0,0832
5,2,2,30,70,discharging,0,1,38,0,0,0,1938
5,2,2,27,69,discharging,0,0,36,0,0,0,1538
